<pre>
#
# Format: format is like in the OSM Wiki
#
# Links: [[...|...]] are interne link like in the OSM Wiki
#        [... ...] are external links
#
# Headers start with '=', '==', '===', '====', ... at the beginning of a line
#
# Simple text starts with '-' at the beginning of a line.
#    Simple text starts may only be placed directly after a header line.
#    A single '-' at the beginning of a line, followed by nothing:
#    - if there was simple text before, it creates a line feed (i.e. encloses the text in a paragraph <p> ... </p>)
#    - if there was no simple text before or a line feed, it creates an empty line (i.e. <p>&amp;nbsp;</p>)
#
# !!!Text yellow background!!! in simple text or headers
# '''''Text mit bold and italics''''' in simple text or headers
# '''Text with bold chars''' in simple text or headers
# ''Text with italic chars'' in simple text or headers
#
# Comments start with '#' at the beginning of a line. '#' inside text is not recognized as the start of a comment, i.e.. '#' may occur inside of text.
#
# Format of the file: UTF-8
#
#
# Cotents in CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' of route or route_master
#                250            defines that routes with 'ref'='250' are expected
#                250|250a|250b  defines that routes with 'ref'='250' or 'ref'='250a' or 'ref'='250b' are expected - independent of whether this is allowed according to PTv1/PTv2
# - type      == contents of tags 'route' respectively 'route_master'
# - comment   == can include comments like; Bus, Expressbus, ...  will not be analyzed, but simply be printed out
#                !Text with yellow background! in comment (surrounded by single !)
# - from      == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - to        == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - operator  == if there is more than one entry with "ref;type", then "operator" is used to distinguish between same line number in different cities/villages
#


= Overview on Public Transportation of the BHTtrans network in Belo Horizonte, MG

- Link to the data with the description of [[Belo_Horizonte/Public_Transport/Analysis/BHTrans_Lines|BHTrans Lines]] in OSM-Wiki.
- Link to more [[Talk:Belo_Horizonte/Public_Transport/Analysis|information]] in OSM-Wiki.

#
#ref;type;comment;from;to;operator

== Onibus

67;bus;GTFS route_id=67    05;Estacao Vilarinho;Santo Agostinho Via Carlos Luz (Retorno Na Av. Dom Pedro Ii);
68;bus;GTFS route_id=68    01;Estacao Vilarinho;Lagoinha (Principal);
82;bus;GTFS route_id=82    01;Estacao Sao Gabriel;Savassi Via Hospitais (Principal);
82;bus;GTFS route_id=82    02;Estacao Sao Gabriel;Savassi Via Hospitais (Direta);
83D;bus;GTFS route_id=83D   01;Estacao Sao Gabriel;Direta (Principal);
83P;bus;GTFS route_id=83P   01;Estacao Sao Gabriel;Paradora (Principal);
83P;bus;GTFS route_id=83P   02;Estacao Sao Gabriel;Paradora (Hospitais);
83P;bus;GTFS route_id=83P   03;Estacao Sao Gabriel;Paradora (Retorno Na Estacao Carijos);
85;bus;GTFS route_id=85    01;Estacao Sao Gabriel;Centro Via Floresta (Principal);
101;bus;GTFS route_id=101   01;Aglomerado Santa Lucia (Principal);Aglomerado Santa Lucia (Principal);
102;bus;GTFS route_id=102   01;Nossa Senhora De Fatima;Hospital Evangelico (Principal);
102;bus;GTFS route_id=102   02;Nossa Senhora De Fatima;Hospital Evangelico (Via Av. Cardoso);
103;bus;GTFS route_id=103   01;Vila Cafezal;Rua Pouso Alto (Principal);
104;bus;GTFS route_id=104   01;Estacao Lagoinha;Avenida (Principal);
105;bus;GTFS route_id=105   01;Estacao Central;Lourdes (Principal);
107;bus;GTFS route_id=107   01;Vila Marcola;Rua Do Ouro (Principal);
201;bus;GTFS route_id=201   01;Morro Das Pedras (Principal);Morro Das Pedras (Principal);
201;bus;GTFS route_id=201   02;Morro Das Pedras (Via R.Nascimento Gurgel);Morro Das Pedras (Via R.Nascimento Gurgel);
201;bus;GTFS route_id=201   03;Morro Das Pedras (Via Vila Monte Sao Jose);Morro Das Pedras (Via Vila Monte Sao Jose);
202;bus;GTFS route_id=202   01;Estacao Vila Oeste (Principal);Estacao Vila Oeste (Principal);
202;bus;GTFS route_id=202   02;Estacao Vila Oeste (Via Madre Gertrudes);Estacao Vila Oeste (Via Madre Gertrudes);
203;bus;GTFS route_id=203   01;Morro Das Pedras;Ventosa (Principal);
204;bus;GTFS route_id=204   01;Estacao Vila Oeste;Nova Gameleira (Principal);
205;bus;GTFS route_id=205   01;Metro Calafate;Buritis (Principal);
206;bus;GTFS route_id=206   01;Circular Oeste (Principal);Circular Oeste (Principal);
208;bus;GTFS route_id=208   01;Estacao Barreiro;Betania Via Novo Das Industrias (Principal);
301;bus;GTFS route_id=301   01;Est.Diamante;Novo Sta.Cecilia V. Brasil Industrial (Via Rua Da Olaria);
301;bus;GTFS route_id=301   05;Est.Diamante;Novo Sta.Cecilia V. Brasil Industrial (Via Upa Barreiro);
302;bus;GTFS route_id=302   01;Estacao Diamante;Vila Pinho (Principal);
302;bus;GTFS route_id=302   04;Estacao Diamante;Vila Pinho (Noturno);
302;bus;GTFS route_id=302   05;Estacao Diamante;Vila Pinho (Via Conjunto Aguas Claras);
303;bus;GTFS route_id=303   01;Estacao Diamante;Santa Cecilia Via Castanheiras (Principal);
303;bus;GTFS route_id=303   03;Estacao Diamante;Santa Cecilia Via Castanheiras (Via Area Industrial);
304;bus;GTFS route_id=304   01;Estacao Diamante;Jatoba Iv (Principal);
305;bus;GTFS route_id=305   01;Estacao Diamante;Mangueiras (Principal);
305;bus;GTFS route_id=305   02;Estacao Diamante;Mangueiras (Noturno);
305;bus;GTFS route_id=305   03;Estacao Diamante;Mangueiras (Via Setor Industrial);
305;bus;GTFS route_id=305   04;Estacao Diamante;Av.Solf. Ricci);
305;bus;GTFS route_id=305   05;Estacao Diamante;Mangueiras (Partidas Da Av.Solferina Ricci);
305;bus;GTFS route_id=305   06;Estacao Diamante;R. Geraldo R. Filho);
308;bus;GTFS route_id=308   01;Estacao Barreiro;Tirol (Principal);
308;bus;GTFS route_id=308   02;Estacao Barreiro;Tirol (Noturno);
309;bus;GTFS route_id=309   01;Estacao Diamante;Vila Santa Rita);
310;bus;GTFS route_id=310   01;Estacao Diamante;3 E 4 Secao (Principal);
311;bus;GTFS route_id=311   01;Estacao Diamante;Independencia (Principal);
311;bus;GTFS route_id=311   02;Estacao Diamante;Independencia (Noturno);
311;bus;GTFS route_id=311   03;Estacao Diamante;Independencia);
311;bus;GTFS route_id=311   04;Estacao Diamante;Est.Barreiro);
311;bus;GTFS route_id=311   05;Estacao Diamante;Est.Diamante);
313;bus;GTFS route_id=313   01;Estacao Diamante;Olaria (Principal);
314;bus;GTFS route_id=314   01;Estacao Diamante;Estacao Barreiro Via Santa Helena (Principal);
315;bus;GTFS route_id=315   01;Estacao Barreiro;Barreiro (Principal);
318;bus;GTFS route_id=318   02;Estacao Barreiro;Atend. Aos Bairros Liberdade E Bonsucesso);
318;bus;GTFS route_id=318   05;Estacao Barreiro;Estacao Barreiro);
318;bus;GTFS route_id=318   06;Estacao Barreiro;Jardim Liberdade Via Milionarios (Partidas Da Rua Jeremias);
318;bus;GTFS route_id=318   08;Estacao Barreiro;Jardim Liberdade Via Milionarios (Atendimento A Regiao Do Liberdade);
319;bus;GTFS route_id=319   01;Vila Cemig;Conj.Esperanca (Principal);
319;bus;GTFS route_id=319   02;Vila Cemig;Conj.Esperanca (Via Pca. Jose Verano);
319;bus;GTFS route_id=319   03;Vila Cemig;Conj.Esperanca (Via Hospital Julia Kubitschek);
319;bus;GTFS route_id=319   04;Vila Cemig;Conj.Esperanca (Via Bonsucesso);
321;bus;GTFS route_id=321   01;Olhos D Agua;Pilar (Principal);
321;bus;GTFS route_id=321   02;Olhos D Agua;Pilar (Via Setor Industrial);
325;bus;GTFS route_id=325   01;Estacao Barreiro;Flavio Marques Lisboa (Principal);
325;bus;GTFS route_id=325   02;Estacao Barreiro;Flavio Marques Lisboa (Noturno);
326;bus;GTFS route_id=326   01;Estacao Barreiro;Vale Do Jatoba (Principal);
327;bus;GTFS route_id=327   01;Estacao Barreiro;Cardoso A (Principal);
327;bus;GTFS route_id=327   02;Estacao Barreiro;Cardoso A (Via Clube Da Copasa);
327;bus;GTFS route_id=327   03;Estacao Barreiro;Cardoso A (Noturno);
328;bus;GTFS route_id=328   01;Estacao Barreiro;Cardoso B (Principal);
328;bus;GTFS route_id=328   02;Estacao Barreiro;R. Lucas C.Santos);
329;bus;GTFS route_id=329   01;Estacao Barreiro;Jatoba (Principal);
329;bus;GTFS route_id=329   02;Estacao Barreiro;Jatoba (Via Teresa Cristina);
330;bus;GTFS route_id=330   01;Estacao Barreiro;Independencia (Principal);
330;bus;GTFS route_id=330   02;Estacao Barreiro;Independencia (Noturno);
330;bus;GTFS route_id=330   03;Estacao Barreiro;Independencia (Via Bairro Mineirao);
330;bus;GTFS route_id=330   04;Estacao Barreiro;Independencia);
330;bus;GTFS route_id=330   05;Estacao Barreiro;Mineirao);
330;bus;GTFS route_id=330   08;Estacao Barreiro;Ret. Expresso);
331;bus;GTFS route_id=331   01;Estacao Barreiro;Conj.Antonio Teixeira Dias V.Upa (Principal);
331;bus;GTFS route_id=331   02;Estacao Barreiro;Conj.Antonio Teixeira Dias V.Upa (Noturno);
331;bus;GTFS route_id=331   03;Estacao Barreiro;Conj.Antonio Teixeira Dias V.Upa (Via Puc Barreiro);
332;bus;GTFS route_id=332   01;Estacao Barreiro;Bonsucesso (Principal);
332;bus;GTFS route_id=332   02;Estacao Barreiro;R. Dr.Crist. Rezende);
335;bus;GTFS route_id=335   01;Estacao Barreiro;Lindeia (Principal);
336;bus;GTFS route_id=336   01;Hospital Eduardo De Menezes;Vila Bernadete (Principal);
336;bus;GTFS route_id=336   02;Hospital Eduardo De Menezes;Manha);
336;bus;GTFS route_id=336   03;Hospital Eduardo De Menezes;Tarde);
337;bus;GTFS route_id=337   01;Estacao Barreiro;Itaipu (Principal);
340;bus;GTFS route_id=340   01;Estacao Barreiro;Vila Mangueiras (Principal);
340;bus;GTFS route_id=340   03;Estacao Barreiro;Vila Mangueiras (Atendimento Ao C.S. Mangueiras);
341;bus;GTFS route_id=341   01;Estacao Barreiro;Estacao Diamante Via Saude (Principal);
342;bus;GTFS route_id=342   01;Estacao Barreiro;Solar Via Estacao Diamante (Principal);
342;bus;GTFS route_id=342   02;Estacao Barreiro;Solar Via Estacao Diamante (Noturno Via Brasil Industrial);
342;bus;GTFS route_id=342   03;Estacao Barreiro;Solar Via Estacao Diamante (Partidas Da Rua Luiz Pongelupe);
342;bus;GTFS route_id=342   04;Estacao Barreiro;Solar Via Estacao Diamante (Atendimento Ao Bairro Solar);
401;bus;GTFS route_id=401   01;Metro Cid.Industrial;S.Maria (Principal);
401;bus;GTFS route_id=401   03;Metro Cid.Industrial;S.Maria (Via Vila Dos Esportes);
402;bus;GTFS route_id=402   01;Metro Cid.Industrial;Camargos (Principal);
402;bus;GTFS route_id=402   03;Metro Cid.Industrial;Manha);
402;bus;GTFS route_id=402   04;Metro Cid.Industrial;Tarde);
402;bus;GTFS route_id=402   05;Metro Cid.Industrial;Camargos (Via Santa Maria);
402;bus;GTFS route_id=402   06;Metro Cid.Industrial;Sab E Dom);
406;bus;GTFS route_id=406   01;Est.Ponto Sao Jose;Pindorama V. N.Sra. Da Gloria (Principal);
503;bus;GTFS route_id=503   01;Estacao Sao Gabriel;Santa Rosa (Principal);
503;bus;GTFS route_id=503   02;Estacao Sao Gabriel;Santa Rosa (Partidas Da Est.Sao Gabriel);
504;bus;GTFS route_id=504   01;Estacao Sao Gabriel;Aparecida (Principal);
504;bus;GTFS route_id=504   02;Estacao Sao Gabriel;Aparecida (Partidas Da Est.Sao Gabriel);
506;bus;GTFS route_id=506   01;Estacao Ponto Sao Jose;Av. Antonio Carlos  (Via Castelo E Novo Ouro Preto);
506;bus;GTFS route_id=506   02;Estacao Ponto Sao Jose;Av. Antonio Carlos  (Via Ouro Preto E Novo Ouro Preto);
506;bus;GTFS route_id=506   03;Estacao Ponto Sao Jose;Av. Antonio Carlos  (Via Castelo);
506;bus;GTFS route_id=506   04;Estacao Ponto Sao Jose;Av. Antonio Carlos  (Via Ouro Preto);
507;bus;GTFS route_id=507   01;Ouro Preto;Shopping Del Rey (Principal);
510;bus;GTFS route_id=510   01;Estacao Pampulha;Xangrila Via Trevo (Principal);
510;bus;GTFS route_id=510   02;Estacao Pampulha;Xangrila Via Trevo (Partidas Da Estacao Pampulha);
510;bus;GTFS route_id=510   03;Estacao Pampulha;Estacao Pampulha);
511;bus;GTFS route_id=511   01;Estacao Ponto Sao Jose;Jardim Alvorada (Principal);
533;bus;GTFS route_id=533   01;Castelo;Shopping Del Rey (Principal);
535;bus;GTFS route_id=535   01;Trevo Via Braunas;Shopping Del Rey (Principal);
607;bus;GTFS route_id=607   01;Estacao Vilarinho;Esplendor (Principal);
607;bus;GTFS route_id=607   06;Estacao Vilarinho;Esplendor (Partidas Da Estacao Vilarinho);
607;bus;GTFS route_id=607   07;Estacao Vilarinho;Estacao Vilarinho);
608;bus;GTFS route_id=608   01;Estacao Venda Nova;Nova Pampulha (Principal);
608;bus;GTFS route_id=608   04;Estacao Venda Nova;Nova Pampulha);
608;bus;GTFS route_id=608   05;Estacao Venda Nova;Venda Nova);
608;bus;GTFS route_id=608   06;Estacao Venda Nova;Nova Pampulha (Partidas R.Francisco Adolfo Viana);
609;bus;GTFS route_id=609   01;Serra Verde;Santa Monica (Principal);
609;bus;GTFS route_id=609   02;Serra Verde;Sentido Serra Verde);
609;bus;GTFS route_id=609   03;Serra Verde;Sentido Sta Monica);
614;bus;GTFS route_id=614   01;Estacao Pampulha;Ceu Azul A (Principal);
614;bus;GTFS route_id=614   02;Estacao Pampulha;Ceu Azul A (Noturno);
614;bus;GTFS route_id=614   03;Estacao Pampulha;Ceu Azul A (Partidas Da Estacao Pampulha);
614;bus;GTFS route_id=614   04;Estacao Pampulha;Rua Jose Rocha Paixao);
614;bus;GTFS route_id=614   06;Estacao Pampulha;Estacao Pampulha);
615;bus;GTFS route_id=615   01;Estacao Pampulha;Ceu Azul B (Principal);
615;bus;GTFS route_id=615   02;Estacao Pampulha;Estacao Pampulha);
615;bus;GTFS route_id=615   03;Estacao Pampulha;Ceu Azul B (Partidas Da Estacao Pampulha);
616;bus;GTFS route_id=616   01;Estacao Pampulha;Ceu Azul C (Principal);
616;bus;GTFS route_id=616   02;Estacao Pampulha;Ceu Azul C (Noturno);
616;bus;GTFS route_id=616   03;Estacao Pampulha;Ceu Azul C (Partidas Da Estacao Pampulha);
616;bus;GTFS route_id=616   04;Estacao Pampulha;Estacao Pampulha);
617;bus;GTFS route_id=617   01;Estacao Pampulha;Piratininga Via Rio Branco (Principal);
