<pre>
#
# Format: format is like in the OSM Wiki
#
# Links: [[...|...]] are interne link like in the OSM Wiki
#        [... ...] are external links
#
# Headers start with '=', '==', '===', '====', ... at the beginning of a line
#
# Simple text starts with '-' at the beginning of a line.
#    Simple text starts may only be placed directly after a header line.
#    A single '-' at the beginning of a line, followed by nothing:
#    - if there was simple text before, it creates a line feed (i.e. encloses the text in a paragraph <p> ... </p>)
#    - if there was no simple text before or a line feed, it creates an empty line (i.e. <p>&amp;nbsp;</p>)
#
# !!!Text yellow background!!! in simple text or headers
# '''''Text mit bold and italics''''' in simple text or headers
# '''Text with bold chars''' in simple text or headers
# ''Text with italic chars'' in simple text or headers
#
# Comments start with '#' at the beginning of a line. '#' inside text is not recognized as the start of a comment, i.e.. '#' may occur inside of text.
#
# Format of the file: UTF-8
#
#
# Cotents in CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' of route or route_master
#                250            defines that routes with 'ref'='250' are expected
#                250|250a|250b  defines that routes with 'ref'='250' or 'ref'='250a' or 'ref'='250b' are expected - independent of whether this is allowed according to PTv1/PTv2
# - type      == contents of tags 'route' respectively 'route_master'
# - comment   == can include comments like; Bus, Expressbus, ...  will not be analyzed, but simply be printed out
#                !Text with yellow background! in comment (surrounded by single !)
# - from      == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - to        == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - operator  == if there is more than one entry with "ref;type", then "operator" is used to distinguish between same line number in different cities/villages
#


= Overview on Public Transportation of the BHTtrans network in Belo Horizonte, MG

- Link to the data with the description of [[Belo_Horizonte/Public_Transport/Analysis/BHTrans_Lines|BHTrans Lines]] in OSM-Wiki.
- Link to more [[Talk:Belo_Horizonte/Public_Transport/Analysis|information]] in OSM-Wiki.

#
#ref;type;comment;from;to;operator

== Onibus

641;bus;GTFS route_id=641   03;Estacao Vilarinho;Serra Verde (Partidas Da Estacao Vilarinho);
641;bus;GTFS route_id=641   04;Estacao Vilarinho;Estacao Vilarinho);
642;bus;GTFS route_id=642   01;Est. Venda Nova;Cid.Administrativa (Principal);
642;bus;GTFS route_id=642   03;Est. Venda Nova;Est. V. Nova);
642;bus;GTFS route_id=642   04;Est. Venda Nova;Cid.Administrativa (Partidas Da Estacao Venda Nova);
642;bus;GTFS route_id=642   05;Est. Venda Nova;Cid.Administrativa (Retorno Serra Verde);
643;bus;GTFS route_id=643   01;Estacao Pampulha;Copacabana Via Monte Carmelo (Principal);
643;bus;GTFS route_id=643   02;Estacao Pampulha;Copacabana Via Monte Carmelo (Partidas Da Est.Pampulha);
643;bus;GTFS route_id=643   03;Estacao Pampulha;Est.Pampulha);
644;bus;GTFS route_id=644   01;Estacao Pampulha;Sao Joao Batista (Principal);
644;bus;GTFS route_id=644   02;Estacao Pampulha;Sao Joao Batista (Noturno);
644;bus;GTFS route_id=644   03;Estacao Pampulha;Pca Pedro A. Moreira);
644;bus;GTFS route_id=644   04;Estacao Pampulha;Sao Joao Batista (Partidas Da Estacao Pampulha);
644;bus;GTFS route_id=644   05;Estacao Pampulha;Est. Pampulha);
645;bus;GTFS route_id=645   01;Est. Pampulha;Santa Monica Via Jardim Atlantico (Principal);
645;bus;GTFS route_id=645   02;Est. Pampulha;Santa Monica Via Jardim Atlantico (Partidas Da Estacao Pampulha);
702;bus;GTFS route_id=702   01;Estacao Sao Gabriel;Marize (Principal);
703;bus;GTFS route_id=703   01;Estacao Sao Gabriel;Guarani A (Principal);
705;bus;GTFS route_id=705   01;Estacao Sao Gabriel;Sao Tomaz (Principal);
705;bus;GTFS route_id=705   06;Estacao Sao Gabriel;Unifenas);
706;bus;GTFS route_id=706   01;Estacao Sao Gabriel;Heliopolis (Principal);
707;bus;GTFS route_id=707   01;Estacao Sao Gabriel;Jardim Guanabara (Principal);
708;bus;GTFS route_id=708   01;Estacao Sao Gabriel;Felicidade (Principal);
709;bus;GTFS route_id=709   01;Estacao Sao Gabriel;Tupi (Principal);
710;bus;GTFS route_id=710   01;Estacao Sao Gabriel;Providencia (Principal);
711;bus;GTFS route_id=711   01;Estacao Sao Gabriel;Solimoes (Principal);
712;bus;GTFS route_id=712   01;Estacao Pampulha;Sao Bernardo (Principal);
712;bus;GTFS route_id=712   02;Estacao Pampulha;Sao Bernardo (Noturno);
712;bus;GTFS route_id=712   03;Estacao Pampulha;Manha);
713;bus;GTFS route_id=713   01;Estacao Sao Gabriel;Lajedo (Principal);
713;bus;GTFS route_id=713   03;Estacao Sao Gabriel;Lajedo (Noturno);
714;bus;GTFS route_id=714   01;Estacao Sao Gabriel;Casas Populares (Principal);
715;bus;GTFS route_id=715   01;Estacao Sao Gabriel;Monte Azul (Principal);
716;bus;GTFS route_id=716   01;Estacao Sao Gabriel;Novo Aarao Reis (Principal);
717;bus;GTFS route_id=717   02;Estacao Pampulha;Campo Alegre (Principal );
717;bus;GTFS route_id=717   04;Estacao Pampulha;Estacao Pampulha);
717;bus;GTFS route_id=717   05;Estacao Pampulha;Campo Alegre (Partidas Da Estacao Pampulha);
718;bus;GTFS route_id=718   01;Estacao Pampulha;Planalto (Principal);
718;bus;GTFS route_id=718   02;Estacao Pampulha;Estacao Pampulha);
718;bus;GTFS route_id=718   03;Estacao Pampulha;Planalto (Partidas Da Estacao Pampulha);
719;bus;GTFS route_id=719   01;Estacao Pampulha;Floramar (Principal);
719;bus;GTFS route_id=719   02;Estacao Pampulha;Floramar (Noturno);
719;bus;GTFS route_id=719   04;Estacao Pampulha;Estacao Pampulha);
719;bus;GTFS route_id=719   05;Estacao Pampulha;Floramar (Partidas Da Estacao Pampulha);
732;bus;GTFS route_id=732   01;Estacao Sao Gabriel;Felicidade (Principal);
734;bus;GTFS route_id=734   01;Estacao Sao Gabriel;Aarao Reis Via Minaslandia (Principal);
735;bus;GTFS route_id=735   01;Estacao Vilarinho;Juliana A (Principal);
736;bus;GTFS route_id=736   01;Estacao Vilarinho;Juliana B (Principal);
737;bus;GTFS route_id=737   01;Estacao Vilarinho;Jaqueline (Principal);
737;bus;GTFS route_id=737   03;Estacao Vilarinho;E.E. P. Comanducci);
737;bus;GTFS route_id=737   04;Estacao Vilarinho;Estacao Vilarinho);
737;bus;GTFS route_id=737   05;Estacao Vilarinho;Jaqueline (Partidas Da Estacao Vilarinho);
738;bus;GTFS route_id=738   01;Estacao Vilarinho;Conj.Zilah Sposito (Principal);
738;bus;GTFS route_id=738   03;Estacao Vilarinho;E.Vilarinho);
738;bus;GTFS route_id=738   04;Estacao Vilarinho;Conj.Zilah Sposito (Partidas Da Estacao Vilarinho);
739;bus;GTFS route_id=739   01;Est.Vilarinho;Jaqueline segundaSecao Via Frei Leopoldo (Principal);
739;bus;GTFS route_id=739   03;Est.Vilarinho;Jaqueline segundaSecao Via Frei Leopoldo (Noturno);
739;bus;GTFS route_id=739   04;Est.Vilarinho;Estacao Vilarinho);
739;bus;GTFS route_id=739   05;Est.Vilarinho;Jaqueline segundaSecao Via Frei Leopoldo (Partidas Da Estacao Vilarinho);
740;bus;GTFS route_id=740   01;Tupi;Mirante (Principal);
806;bus;GTFS route_id=806   01;Estacao Sao Gabriel;Vista Do Sol Via Nazare (Principal);
807;bus;GTFS route_id=807   01;Estacao Sao Gabriel;Ribeiro De Abreu A (Principal);
808;bus;GTFS route_id=808   01;Estacao Sao Gabriel;Paulo VI (Principal);
808;bus;GTFS route_id=808   07;Estacao Sao Gabriel;Paulo VI (Via Parque Real);
809;bus;GTFS route_id=809   01;Estacao Sao Gabriel;Belmonte (Principal);
810;bus;GTFS route_id=810   01;Estacao Sao Gabriel;Parque Belmonte Via D.Silverio (Principal);
811;bus;GTFS route_id=811   01;Estacao Sao Gabriel;Vista Do Sol Via Puc (Principal);
812;bus;GTFS route_id=812   01;Estacao Sao Gabriel;Sao Gabriel A (Principal);
813;bus;GTFS route_id=813   01;Estacao Sao Gabriel;Paulo VI Via Ribeiro De Abreu (Principal);
813;bus;GTFS route_id=813   02;Estacao Sao Gabriel;Paulo VI Via Ribeiro De Abreu (Via Conj. Ribeiro De Abreu);
814;bus;GTFS route_id=814   01;Estacao Sao Gabriel;Jardim Vitoria (Principal);
814;bus;GTFS route_id=814   02;Estacao Sao Gabriel;Jardim Vitoria (Via Pousada Sto Antonio);
814;bus;GTFS route_id=814   03;Estacao Sao Gabriel;Jardim Vitoria (Noturno);
814;bus;GTFS route_id=814   04;Estacao Sao Gabriel;Jardim Vitoria (Via R. Henriqueta Lisboa);
814;bus;GTFS route_id=814   05;Estacao Sao Gabriel;R.Henriqueta Lisboa);
815;bus;GTFS route_id=815   01;Estacao Sao Gabriel;Conjunto Paulo VI (Principal);
815;bus;GTFS route_id=815   02;Estacao Sao Gabriel;Conjunto Paulo VI (Noturno Via Rua Sao Jacinto);
815;bus;GTFS route_id=815   04;Estacao Sao Gabriel;Estacao);
821;bus;GTFS route_id=821   01;Estacao Jose Candido;Goiania (Principal);
822;bus;GTFS route_id=822   01;Estacao Jose Candido;Vila Maria (Principal);
822;bus;GTFS route_id=822   02;Estacao Jose Candido;Vila Maria (Via Av. Magenta);
822;bus;GTFS route_id=822   03;Estacao Jose Candido;R.Prof.Wladimir Gomes);
823;bus;GTFS route_id=823   01;Estacao Sao Gabriel;Bairro Vitoria (Principal);
823;bus;GTFS route_id=823   02;Estacao Sao Gabriel;Bairro Vitoria (Via Est. Jose Candido);
825;bus;GTFS route_id=825   01;Estacao Sao Gabriel;Nordeste (Principal);
826;bus;GTFS route_id=826   01;Montes Claros;Rua Sao Romulo (Principal);
832;bus;GTFS route_id=832   01;Estacao Sao Gabriel;Capitao Eduardo (Principal);
832;bus;GTFS route_id=832   02;Estacao Sao Gabriel;Manha);
832;bus;GTFS route_id=832   03;Estacao Sao Gabriel;Tarde);
832;bus;GTFS route_id=832   04;Estacao Sao Gabriel;Manha);
832;bus;GTFS route_id=832   05;Estacao Sao Gabriel;Tarde);
836;bus;GTFS route_id=836   01;Estacao Sao Gabriel;Ribeiro De Abreu B (Principal);
837;bus;GTFS route_id=837   01;Estacao Sao Gabriel;Conjunto Ribeiro De Abreu (Principal);
901;bus;GTFS route_id=901   01;Circular Leste (Principal);Circular Leste (Principal);
901;bus;GTFS route_id=901   03;Circular Leste (Nao Atendimento;Pam S.Familia);
901;bus;GTFS route_id=901   04;Circular Leste (Retorno;Bairro Sagrada Familia);
902;bus;GTFS route_id=902   01;Taquaril;Castanheiras (Principal);
1030;bus;GTFS route_id=1030  05;Avenida (Direta);Avenida (Direta);
1145;bus;GTFS route_id=1145  01;Bairro Das Industrias (Principal);Bairro Das Industrias (Principal);
1170;bus;GTFS route_id=1170  01;Santa Lucia;Mangabeiras (Principal);
1404A;bus;GTFS route_id=1404A 03;Palmeiras;Alipio De Melo (Noturno);
1404A;bus;GTFS route_id=1404A 05;Palmeiras;Alipio De Melo (Principal);
1404C;bus;GTFS route_id=1404C 01;Palmeiras;Sao Salvador (Principal);
1502;bus;GTFS route_id=1502  01;Vista Alegre;Guarani (Principal);
1505;bus;GTFS route_id=1505  01;Alto Dos Pinheiros;Tupi (Principal);
1505;bus;GTFS route_id=1505  02;Alto Dos Pinheiros;Tupi (Via Conjunto Felicidade);
1505;bus;GTFS route_id=1505  03;Alto Dos Pinheiros;Tupi (Noturno);
1505R;bus;GTFS route_id=1505R 01;Conjunto Felicidade;Centro (Principal);
1509;bus;GTFS route_id=1509  07;California;Tupi (Principal);
1510;bus;GTFS route_id=1510  01;Madre Gertrudes;Providencia (Principal);
2033;bus;GTFS route_id=2033  01;Betania;Centro (Principal);
2034;bus;GTFS route_id=2034  01;Conjunto Betania;Centro (Principal);
2035;bus;GTFS route_id=2035  01;Bairro Das Industrias;Centro (Principal);
2101;bus;GTFS route_id=2101  01;Grajau;Sion (Principal);
2101;bus;GTFS route_id=2101  02;Grajau;Sion (Desvio Feira Da Av. Afonso Pena);
2102;bus;GTFS route_id=2102  01;Gameleira;Serra (Principal);
2102;bus;GTFS route_id=2102  02;Gameleira;Serra (Desvio Feira Da Av. Afonso Pena);
2103;bus;GTFS route_id=2103  01;Prado;Anchieta (Principal);
2104;bus;GTFS route_id=2104  01;Nova Gameleira;Bh Shopping (Principal);
2104;bus;GTFS route_id=2104  02;Nova Gameleira;Bh Shopping (Desvio Feira Da Av.Afonso Pena);
2104;bus;GTFS route_id=2104  04;Nova Gameleira;Bh Shopping (Via Izabella Hendrix);
2150;bus;GTFS route_id=2150  01;Grajau;Sion Via Contorno (Principal);
2151;bus;GTFS route_id=2151  01;Vista Alegre;Serra (Principal);
2152;bus;GTFS route_id=2152  01;Salgado Filho;Cruzeiro (Principal);
3029;bus;GTFS route_id=3029  01;Regina;Centro (Principal);
3030;bus;GTFS route_id=3030  01;Pilar;Centro (Principal);
3030;bus;GTFS route_id=3030  02;Pilar;Centro (Desvio Feira Afonso Pena);
3030;bus;GTFS route_id=3030  04;Pilar;Centro (At. Olhos Dagua Norte);
3050;bus;GTFS route_id=3050  01;Estacao Diamante;Hospitais Via Bh Shopping (Principal);
3050;bus;GTFS route_id=3050  10;Estacao Diamante;Pico Manha);
3050;bus;GTFS route_id=3050  14;Estacao Diamante;Hospitais Via Bh Shopping (Retorno Bh Shopping);
3050;bus;GTFS route_id=3050  15;Estacao Diamante;Tarde);
3050;bus;GTFS route_id=3050  16;Estacao Diamante;Estacao);
3050;bus;GTFS route_id=3050  17;Estacao Diamante;Pico Tarde);
3051;bus;GTFS route_id=3051  01;Flavio Marques Lisboa;Savassi Via N.S.Carmo (Principal);
3051;bus;GTFS route_id=3051  03;Flavio Marques Lisboa;Savassi Via N.S.Carmo (Retorno Expresso);
3052;bus;GTFS route_id=3052  01;Estacao Diamante;Via Havai (Principal);
3052;bus;GTFS route_id=3052  02;Estacao Diamante;Domingo);
3052;bus;GTFS route_id=3052  04;Estacao Diamante;Via Havai (Via Parque Das Mangabeiras);
3052;bus;GTFS route_id=3052  05;Estacao Diamante;Via Havai (Via Bairro Buritis);
3053;bus;GTFS route_id=3053  01;Estacao Barreiro;B.Preto (Principal);
3053;bus;GTFS route_id=3053  02;Estacao Barreiro;B.Preto (Atendimento A Via Expressa);
3054;bus;GTFS route_id=3054  01;Milionarios;Centro (Principal);
3054;bus;GTFS route_id=3054  02;Milionarios;Centro (Retorno Expresso);
3055;bus;GTFS route_id=3055  01;Estacao Barreiro;Savassi Via Bhshopping (Principal);
3055;bus;GTFS route_id=3055  04;Estacao Barreiro;Tarde);
3055;bus;GTFS route_id=3055  05;Estacao Barreiro;Manha);
3055;bus;GTFS route_id=3055  08;Estacao Barreiro;Savassi Via Bhshopping (Via Olhos Dagua Oeste);
3150;bus;GTFS route_id=3150  01;Regina;Bh Shopping Via Anel Rodoviario (Principal);
3301A;bus;GTFS route_id=3301A 01;Santa Terezinha (Principal);Santa Terezinha (Principal);
3301B;bus;GTFS route_id=3301B 01;Castelo (Principal);Castelo (Principal);
3301B;bus;GTFS route_id=3301B 02;Castelo (Via Bairro Santana);Castelo (Via Bairro Santana);
3302A;bus;GTFS route_id=3302A 01;Nova Pampulha Via Itamarati (Principal);Nova Pampulha Via Itamarati (Principal);
3302A;bus;GTFS route_id=3302A 03;Nova Pampulha Via Itamarati (Via Hospitais);Nova Pampulha Via Itamarati (Via Hospitais);
3302A;bus;GTFS route_id=3302A 04;Nova Pampulha Via Itamarati (Retorno Na Newton Paiva);Nova Pampulha Via Itamarati (Retorno Na Newton Paiva);
3302A;bus;GTFS route_id=3302A 07;Nova Pampulha Via Itamarati (Partidas Da Rua Petropolis);Nova Pampulha Via Itamarati (Partidas Da Rua Petropolis);
3302B;bus;GTFS route_id=3302B 01;Trevo Via Braunas (Principal);Trevo Via Braunas (Principal);
3302B;bus;GTFS route_id=3302B 02;Trevo Via Braunas (Hospitais);Trevo Via Braunas (Hospitais);
3302D;bus;GTFS route_id=3302D 01;Braunas (Principal);Braunas (Principal);
3350;bus;GTFS route_id=3350  01;Est.Barreiro;Est.Diamante (Principal);
3501A;bus;GTFS route_id=3501A 01;Jardim Alvorada;Sao Marcos (Principal);
3501A;bus;GTFS route_id=3501A 06;Jardim Alvorada;Sao Marcos (Retorno Expresso);
3501A;bus;GTFS route_id=3501A 10;Jardim Alvorada;Sao Marcos (Via Est. Jose Candido);
3501A;bus;GTFS route_id=3501A 11;Jardim Alvorada;Sao Marcos (Via Faz. Da Serra E Est.Jose Candido);
3501A;bus;GTFS route_id=3501A 12;Jardim Alvorada;Sao Marcos (Via Fernao Dias);
3501B;bus;GTFS route_id=3501B 01;Ouro Preto 3a Gleba;Bairro Ipe Via Jd. Montanhes (Principal);
3502;bus;GTFS route_id=3502  01;Ouro Preto;Sao Gabriel (Principal);
3503A;bus;GTFS route_id=3503A 01;Santa Terezinha;Sao Gabriel (Principal);
3503A;bus;GTFS route_id=3503A 02;Santa Terezinha;Sao Gabriel (Noturno);
3503A;bus;GTFS route_id=3503A 03;Santa Terezinha;Sao Gabriel (Partidas Do Ouro Minas);
3503A;bus;GTFS route_id=3503A 06;Santa Terezinha;Sao Gabriel (Via Praca Divina Pastora);
4031;bus;GTFS route_id=4031  01;Santa Maria;Hospitais (Principal);
4032;bus;GTFS route_id=4032  01;Caicara;Pca. Da Liberdade (Principal);
4032;bus;GTFS route_id=4032  02;Caicara;Pca. Da Liberdade (Desvio Feira Da Av. Afonso Pena);
4033;bus;GTFS route_id=4033  01;Camargos;Centro (Principal);
4033;bus;GTFS route_id=4033  03;Camargos;Centro (Via Conj. Aldeias Da Serra);
4034;bus;GTFS route_id=4034  01;Novo Dom Bosco;Savassi Via Padre Eustaquio (Principal);
4034;bus;GTFS route_id=4034  02;Novo Dom Bosco;Savassi Via Padre Eustaquio (Desvio Feira Da Av. Afonso Pena);
4034;bus;GTFS route_id=4034  07;Novo Dom Bosco;Retorno Expresso);
4034;bus;GTFS route_id=4034  09;Novo Dom Bosco;Savassi Via Padre Eustaquio (Atendimento Ao Conjunto Filadelfia);
4034;bus;GTFS route_id=4034  10;Novo Dom Bosco;Savassi Via Padre Eustaquio (Via Novo Dom Bosco E Conj.Filadelfia);
4037;bus;GTFS route_id=4037  01;Nossa Senhora Da Gloria;Centro (Principal);
4037;bus;GTFS route_id=4037  03;Nossa Senhora Da Gloria;Feriados);
4102;bus;GTFS route_id=4102  01;Aparecida;Serra (Principal);
4102;bus;GTFS route_id=4102  03;Aparecida;Centro);
4102;bus;GTFS route_id=4102  04;Aparecida;Centro Desvio Feira Av.Afonso Pena);
4103;bus;GTFS route_id=4103  01;Aparecida;Mangabeiras (Principal);
4103;bus;GTFS route_id=4103  02;Aparecida;Mangabeiras (Desvio Feira Da Av.Afonso Pena);
4103;bus;GTFS route_id=4103  06;Aparecida;Mangabeiras (Via Amr);
4103;bus;GTFS route_id=4103  08;Aparecida;Mangabeiras (Via Praca Da Bandeira);
4106;bus;GTFS route_id=4106  01;Sao Cristovao;Santo Antonio (Principal);
4106;bus;GTFS route_id=4106  02;Sao Cristovao;Santo Antonio (Desvio Feira Da Av. Afonso Pena);
4107;bus;GTFS route_id=4107  01;Alto Caicara;Serra (Principal);
4107;bus;GTFS route_id=4107  02;Alto Caicara;Serra (Desvio Feira Da Av. Afonso Pena);
4107;bus;GTFS route_id=4107  06;Alto Caicara;Serra (Atendimento Aos Domingos E Feriados);
4108;bus;GTFS route_id=4108  01;Pedro Ii;Mangabeiras (Principal);
4108;bus;GTFS route_id=4108  02;Pedro Ii;Mangabeiras (Desvio Feira Da Av.Afonso Pena);
4108;bus;GTFS route_id=4108  04;Pedro Ii;Mangabeiras (Via Rua Vila Rica);
4110;bus;GTFS route_id=4110  01;Dom Cabral;Belvedere (Principal);
4111;bus;GTFS route_id=4111  01;Dom Cabral;Anchieta (Principal);
4111;bus;GTFS route_id=4111  02;Dom Cabral;Av.Bandeirantes);
4111;bus;GTFS route_id=4111  03;Dom Cabral;Anchieta (Atendimento A Escola Guinard);
4111;bus;GTFS route_id=4111  04;Dom Cabral;Anchieta (Retorno Na Praca Do Porto);
4111;bus;GTFS route_id=4111  05;Dom Cabral;Retorno Pca Porto);
4113;bus;GTFS route_id=4113  01;Bom Jesus;Belvedere (Principal);
4113;bus;GTFS route_id=4113  03;Bom Jesus;Belvedere (Atendimento A Fundacao Torino);
4113;bus;GTFS route_id=4113  07;Bom Jesus;Centro);
4150;bus;GTFS route_id=4150  02;Shopping Del Rey;Bh Shopping (Principal);
4201;bus;GTFS route_id=4201  01;Alto Caicara;Nova Cintra (Principal);
4205;bus;GTFS route_id=4205  01;Ermelinda;Salgado Filho (Principal);
4403A;bus;GTFS route_id=4403A 01;Zoologico Via Serrano (Principal);Zoologico Via Serrano (Principal);
4403A;bus;GTFS route_id=4403A 03;Zoologico Via Serrano (Noturno);Zoologico Via Serrano (Noturno);
4403A;bus;GTFS route_id=4403A 05;Zoologico Via Serrano (Retorno Expresso);Zoologico Via Serrano (Retorno Expresso);
4403C;bus;GTFS route_id=4403C 01;Residencial Sarandi (Principal);Residencial Sarandi (Principal);
4403D;bus;GTFS route_id=4403D 01;Urca;Confisco (Principal);
4403D;bus;GTFS route_id=4403D 03;Urca;Confisco (Via Residencial Sarandi);
4405;bus;GTFS route_id=4405  01;Coqueiros (Principal);Coqueiros (Principal);
4405;bus;GTFS route_id=4405  03;Coqueiros (Rua Eneida;Retorno Augusto De Lima);
4405;bus;GTFS route_id=4405  05;Coqueiros (Atend. Hospitais E Rua Eneida);Coqueiros (Atend. Hospitais E Rua Eneida);
4405;bus;GTFS route_id=4405  06;Coqueiros (Atendimento Noturno);Coqueiros (Atendimento Noturno);
4410;bus;GTFS route_id=4410  01;Celso Machado Via Saramenha;Urca (Principal);
4501;bus;GTFS route_id=4501  01;California II;Sao Paulo (Principal);
4501;bus;GTFS route_id=4501  02;California II;Sao Paulo (Partida Intermed. Conj California I);
4501;bus;GTFS route_id=4501  04;California II;Centro);
4801A;bus;GTFS route_id=4801A 01;Jardim Filadelfia;Boa Vista A (Principal);
4801A;bus;GTFS route_id=4801A 02;Jardim Filadelfia;Novo Gloria);
4802A;bus;GTFS route_id=4802A 01;Pindorama;Boa Vista (Principal);
4802A;bus;GTFS route_id=4802A 03;Pindorama;Boa Vista (Atendimento Ao Jardim Filadelfia);
4802A;bus;GTFS route_id=4802A 05;Pindorama;Bairro Pindorama);
5033;bus;GTFS route_id=5033  01;Sta Terezinha;Pca.Da Liberdade Via Tanc.Neves (Principal);
5102;bus;GTFS route_id=5102  01;Ufmg;Santo Antonio (Principal);
5102;bus;GTFS route_id=5102  03;Ufmg;Santo Antonio (Nao Atendimento A Ufmg);
5102;bus;GTFS route_id=5102  04;Ufmg;Ufmg);
5102;bus;GTFS route_id=5102  06;Ufmg;Santo Antonio (Retorno Na Pca Da Liberdade);
5102;bus;GTFS route_id=5102  09;Ufmg;Santo Antonio (Nao Atendimento Ao Centro Pedagogico);
5104;bus;GTFS route_id=5104  01;Suzana;Via Universitario (Principal);
5104;bus;GTFS route_id=5104  02;Suzana;Via Universitario (Desvio Feira Av.Afonso Pena);
5104;bus;GTFS route_id=5104  03;Suzana;Retorno Pca Liberdade);
5104;bus;GTFS route_id=5104  04;Suzana;Feira);
5104;bus;GTFS route_id=5104  05;Suzana;Ret. Pca Liberdade);
5106;bus;GTFS route_id=5106  01;Bandeirantes;Bh Shopping (Principal);
5106;bus;GTFS route_id=5106  02;Bandeirantes;Bh Shopping (Noturno);
5106;bus;GTFS route_id=5106  03;Bandeirantes;Av.Afonso Pena);
5106;bus;GTFS route_id=5106  04;Bandeirantes;Bh Shopping (Nao Atendimento Ao Clube Bh);
5106;bus;GTFS route_id=5106  05;Bandeirantes;Feira);
5107;bus;GTFS route_id=5107  01;Estacao Pampulha;Savassi (Principal);
5201;bus;GTFS route_id=5201  03;Dona Clara;Buritis (Principal);
5201;bus;GTFS route_id=5201  09;Dona Clara;Buritis (Noturno);
5201;bus;GTFS route_id=5201  10;Dona Clara;Buritis (Partidas Est. Sao Francisco);
5203;bus;GTFS route_id=5203  01;Castelo;Via Manacas (Principal);
5250;bus;GTFS route_id=5250  01;Estacao Pampulha;Betania (Principal);
5250;bus;GTFS route_id=5250  02;Estacao Pampulha;Betania (Noturno);
5250;bus;GTFS route_id=5250  03;Estacao Pampulha;Betania (Via Area Central);
5250;bus;GTFS route_id=5250  04;Estacao Pampulha;Retorno Cefet I);
5401;bus;GTFS route_id=5401  01;Sao Luis;Dom Cabral (Principal);
5401;bus;GTFS route_id=5401  05;Sao Luis;Dom Cabral (Via Al. Do Ipe Branco);
5401;bus;GTFS route_id=5401  06;Sao Luis;Dom Cabral (Noturno);
5502C;bus;GTFS route_id=5502C 01;Pousada Santo Antonio (Principal);Pousada Santo Antonio (Principal);
5502C;bus;GTFS route_id=5502C 06;Pousada Santo Antonio (Atendimento Ao Bairro Vitoria;Via Pousada (Manha));
5502C;bus;GTFS route_id=5502C 07;Pousada Santo Antonio (Atendimento Ao Bairro Vitoria;Via Pousada (Tarde));
5503A;bus;GTFS route_id=5503A 02;Goiania A (Principal);Goiania A (Principal);
5503A;bus;GTFS route_id=5503A 03;Goiania A (Noturno);Goiania A (Noturno);
5503A;bus;GTFS route_id=5503A 04;Goiania A (Via Vila S. Jorge E Est.Jose Candido);Goiania A (Via Vila S. Jorge E Est.Jose Candido);
5503A;bus;GTFS route_id=5503A 06;Goiania A (Via Vila Sao Jorge);Goiania A (Via Vila Sao Jorge);
5503A;bus;GTFS route_id=5503A 07;Goiania A (Via Est. Jose Candido);Goiania A (Via Est. Jose Candido);
5503A;bus;GTFS route_id=5503A 08;Goiania A (Retorno No Centro);Goiania A (Retorno No Centro);
5503B;bus;GTFS route_id=5503B 02;Goiania B (Principal);Goiania B (Principal);
5506A;bus;GTFS route_id=5506A 01;Ribeiro De Abreu (Principal);Ribeiro De Abreu (Principal);
5506A;bus;GTFS route_id=5506A 02;Ribeiro De Abreu (Retorno Expresso (Portas Fechadas));Ribeiro De Abreu (Retorno Expresso (Portas Fechadas));
5550;bus;GTFS route_id=5550  01;Estacao Pampulha;Estacao Ponto Sao Jose (Principal);
6030;bus;GTFS route_id=6030  01;Cidade Administrativa;Savassi Via Hospitais (Principal);
6030;bus;GTFS route_id=6030  02;Cidade Administrativa;Savassi Via Hospitais (Via Andradas);
6031;bus;GTFS route_id=6031  01;Cidade Administrativa;Centro (Principal);
6350;bus;GTFS route_id=6350  01;Est.Vilarinho;Est.Barreiro Via Anel Rodoviario (Principal);
8001A;bus;GTFS route_id=8001A 01;Santa Ines;Bh Shopping (Principal);
8001A;bus;GTFS route_id=8001A 02;Santa Ines;Bh Shopping (Desvio Feira Av.Afonso Pena);
8001A;bus;GTFS route_id=8001A 04;Santa Ines;Bh Shopping (Retorno Av.Senhora Do Carmo);
8101;bus;GTFS route_id=8101  01;Santa Cruz;Alto Santa Lucia (Principal);
8101;bus;GTFS route_id=8101  03;Santa Cruz;Centro);
8102;bus;GTFS route_id=8102  01;Uniao;Carmo Sion (Principal);
8102;bus;GTFS route_id=8102  02;Uniao;Carmo Sion (Atendimento A Praca Miguel Chiquiloff);
8102;bus;GTFS route_id=8102  04;Uniao;Carmo Sion (Desvio Feira Av.Afonso Pena);
8103;bus;GTFS route_id=8103  01;Nova Floresta;Santa Lucia (Principal);
8103;bus;GTFS route_id=8103  02;Nova Floresta;Santa Lucia (Atendimento A Praca Do Sol);
8103;bus;GTFS route_id=8103  03;Nova Floresta;Santa Lucia (Noturno);
8103;bus;GTFS route_id=8103  04;Nova Floresta;Centro (Retorno Na R.Dos Tamoios));
8106;bus;GTFS route_id=8106  01;Santa Cruz;Bh Shopping Via Belvedere (Principal);
