<pre>
#
# Format: format is like in the OSM Wiki
#
# Links: [[...|...]] are interne link like in the OSM Wiki
#        [... ...] are external links
#
# Headers start with '=', '==', '===', '====', ... at the beginning of a line
#
# Simple text starts with '-' at the beginning of a line.
#    Simple text starts may only be placed directly after a header line.
#    A single '-' at the beginning of a line, followed by nothing:
#    - if there was simple text before, it creates a line feed (i.e. encloses the text in a paragraph <p> ... </p>)
#    - if there was no simple text before or a line feed, it creates an empty line (i.e. <p>&amp;nbsp;</p>)
#
# !!!Text yellow background!!! in simple text or headers
# '''''Text mit bold and italics''''' in simple text or headers
# '''Text with bold chars''' in simple text or headers
# ''Text with italic chars'' in simple text or headers
#
# Comments start with '#' at the beginning of a line. '#' inside text is not recognized as the start of a comment, i.e.. '#' may occur inside of text.
#
# Format of the file: UTF-8
#
#
# Cotents in CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' of route or route_master
#                250            defines that routes with 'ref'='250' are expected
#                250|250a|250b  defines that routes with 'ref'='250' or 'ref'='250a' or 'ref'='250b' are expected - independent of whether this is allowed according to PTv1/PTv2
# - type      == contents of tags 'route' respectively 'route_master'
# - comment   == can include comments like; Bus, Expressbus, ...  will not be analyzed, but simply be printed out
#                !Text with yellow background! in comment (surrounded by single !)
# - from      == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - to        == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - operator  == if there is more than one entry with "ref;type", then "operator" is used to distinguish between same line number in different cities/villages
#


= Overview on Public Transportation of TICE network in Lëtzebuerg

- Link to the data with the description of [[WikiProject_Luxembourg/Public_Transport/Analysis/LU-TICE-Routes|TICE Lines]] in OSM-Wiki.
- Link to more [[Talk:WikiProject_Luxembourg/Public_Transport/Analysis/TICE|information]] in OSM-Wiki.

== Note

- For the analysis, 'network' is expected as
-
- * "TICE"                           short form, oder
-
- * "Transport Intercommunal de personnes dans le Canton d'Esch-sur-Alzette"  long form, or
-
- * empty string, i.e. not set
-
#
#ref;type;comment;from;to;operator

== Buslinen TICE

760;bus;GTFS route_id=4:TIC---:760;Esch/Alzette, Dellhéicht;Pétange, Cactus;
761;bus;GTFS route_id=4:TIC---:761;Esch/Alzette, L.H.C.E.;Bascharage, Sicon;
762;bus;GTFS route_id=4:TIC---:762;Esch/Alzette, Dellhéicht;Niedercorn, Aale Stadion;
766;bus;GTFS route_id=4:TIC---:766;Esch/Alzette, Dellhéicht;Niedercorn, Schoul;
767;bus;GTFS route_id=4:TIC---:767;Esch/Alzette, Dellhéicht;Pétange, Cactus;
768;bus;GTFS route_id=4:TIC---:768;Esch/Alzette, Dellhéicht;Rodange, Gendarmerie;
770;bus;GTFS route_id=4:TIC---:770;Esch/Alzette, Lycée Guillaume Kroll;Rodange, Gendarmerie;
771;bus;GTFS route_id=4:TIC---:771;Esch/Alzette, Lycée Guillaume Kroll;Differdange, Arbed;
772;bus;GTFS route_id=4:TIC---:772;Esch/Alzette, Lycée Guillaume Kroll;Pétange, Gemeng;
773;bus;GTFS route_id=4:TIC---:773;Esch/Alzette, Lycée Guillaume Kroll;Differdange, Schoul;
774;bus;GTFS route_id=4:TIC---:774;Esch/Alzette, Lycée Guillaume Kroll;Rodange, Schwemm;
781;bus;GTFS route_id=4:TIC---:781;Lamadelaine, Lycée Technique Mathias Adam;Esch/Alzette, Gare;
782;bus;GTFS route_id=4:TIC---:782;Lamadelaine, Lycée Technique Mathias Adam;Esch/Alzette, Gare;
783;bus;GTFS route_id=4:TIC---:783;Lamadelaine, Lycée Technique Mathias Adam;Differdange, Schoul;
784;bus;GTFS route_id=4:TIC---:784;Lamadelaine, Lycée Technique Mathias Adam;Rodange, Gendarmerie;
785;bus;GTFS route_id=4:TIC---:785;Lamadelaine, Lycée Technique Mathias Adam;Esch/Alzette, Gare;
795;bus;GTFS route_id=4:TIC---:795;Obercorn, LTMA Annexe Jenker;Rodange, Gendarmerie;
796;bus;GTFS route_id=4:TIC---:796;Obercorn, LTMA Annexe Jenker;Pétange, Cactus;
800;bus;GTFS route_id=4:TIC---:800;Dudelange, Gemeng;Esch/Alzette, Lycée Guillaume Kroll;
801;bus;GTFS route_id=4:TIC---:801;Dudelange, Greisendall;Esch/Alzette, Gare;
802;bus;GTFS route_id=4:TIC---:802;Dudelange, Gemeng;Dudelange, Lycée Nic Biever;
803;bus;GTFS route_id=4:TIC---:803;Dudelange, Soibelkaul;Esch/Alzette, Lycée Guillaume Kroll;
804;bus;GTFS route_id=4:TIC---:804;Dudelange, Soibelkaul;Dudelange, Lycée Nic Biever;
810;bus;GTFS route_id=4:TIC---:810;Kayl, Brill;Esch/Alzette, Lycée Guillaume Kroll;
811;bus;GTFS route_id=4:TIC---:811;Kayl, Brill;Dudelange, Lycée Nic Biever;
812;bus;GTFS route_id=4:TIC---:812;Kayl, Police;Esch/Alzette, Gare;
813;bus;GTFS route_id=4:TIC---:813;Kayl, Broucherbierg;Esch/Alzette, Lycée Tech.Lal.;
814;bus;GTFS route_id=4:TIC---:814;Kayl, Cité Berens;Val;
817;bus;GTFS route_id=4:TIC---:817;Rumelange, Intermoselle;Esch/Alzette, Lycée Guillaume Kroll;
820;bus;GTFS route_id=4:TIC---:820;Rumelange, Maartplaz;Esch/Alzette, Lycée Guillaume Kroll;
821;bus;GTFS route_id=4:TIC---:821;Rumelange, Intermoselle;Dudelange, Lycée Nic Biever;
822;bus;GTFS route_id=4:TIC---:822;Rumelange, Maartplaz;Dudelange, Lycée Nic Biever Ann. Alliance;
823;bus;GTFS route_id=4:TIC---:823;Rumelange, Maartplaz;Esch/Alzette, Gare;
830;bus;GTFS route_id=4:TIC---:830;Schifflange, Millchen;Dudelange, Lycée Nic Biever;
835;bus;GTFS route_id=4:TIC---:835;Esch/Alzette, Gare;Dudelange, Lycée Nic Biever Ann. Alliance;
840;bus;GTFS route_id=4:TIC---:840;Esch/Alzette, Lycée Tech.Lal.;Kayl, Brill;
841;bus;GTFS route_id=4:TIC---:841;Esch/Alzette, Lycée Tech.Lal.;Dudelange, Gemeng;
850;bus;GTFS route_id=4:TIC---:850;Esch/Alzette, E.P.M.C.;Rumelange, Rembour;
860;bus;GTFS route_id=4:TIC---:860;Esch/Alzette, L.H.C.E.;Rumelange, Rembour;
861;bus;GTFS route_id=4:TIC---:861;Esch/Alzette, L.H.C.E.;Esch/Alzette, Gare;
862;bus;GTFS route_id=4:TIC---:862;Esch/Alzette, L.H.C.E.;Dudelange, Gare;
863;bus;GTFS route_id=4:TIC---:863;Esch/Alzette, L.H.C.E.;Dudelange, Schoul Ribeschpont;
864;bus;GTFS route_id=4:TIC---:864;Esch/Alzette, L.H.C.E.;Kayl, Brill;
870;bus;GTFS route_id=4:TIC---:870;Esch/Alzette, Lycée Guillaume Kroll;Rumelange, Rembour;
