#ref;type;comment;from;to;operator
RB;train;GTFS route_id=2:C88---:RB5000;Athus, Gare;Luxembourg, Gare Centrale;
RB;train;GTFS route_id=2:C88---:RB5800;Arlon, Gare;Luxembourg, Gare Centrale;
RB;train;GTFS route_id=2:C88---:RB5900;Arlon, Gare;Luxembourg, Gare Centrale;
RB;train;GTFS route_id=2:C88---:RB7600;Arlon, Gare;Luxembourg, Gare Centrale;
RE;train;GTFS route_id=2:C80---:RE5100;Remagen;Luxembourg, Gare Centrale;
RE;train;GTFS route_id=2:C82---:RE10400;Esch/Alzette, Gare;Ettelbruck, Gare;
RE;train;GTFS route_id=2:C82---:RE13700;Luxembourg, Gare Centrale;Ettelbruck, Gare;
RE;train;GTFS route_id=2:C82---:RE13800;Ettelbruck, Gare;Luxembourg, Gare Centrale;
RE;train;GTFS route_id=2:C82---:RE16300;Esch/Alzette, Gare;Bettembourg, Gare;
RE;train;GTFS route_id=2:C82---:RE16900;Bettembourg, Gare;Rodange, Gare;
RE;train;GTFS route_id=2:C82---:RE17000;Luxembourg, Gare Centrale;Usines;
RE;train;GTFS route_id=2:C82---:RE1700;Kautenbach, Op der Gare;Wiltz, Gare;
RE;train;GTFS route_id=2:C82---:RE17300;Oetrange, Gare;Luxembourg, Gare Centrale;
RE;train;GTFS route_id=2:C82---:RE17600;Ettelbruck, Gare;Esch/Alzette, Gare;
RE;train;GTFS route_id=2:C82---:RE1800;Wiltz, Gare;Kautenbach, Op der Gare;
RE;train;GTFS route_id=2:C82---:RE18600;Ettelbruck, Gare;Luxembourg, Gare Centrale;
RE;train;GTFS route_id=2:C82---:RE3700;Troisvierges, Gare;Luxembourg, Gare Centrale;
RE;train;GTFS route_id=2:C82---:RE3800;Troisvierges, Gare;Luxembourg, Gare Centrale;
RE;train;GTFS route_id=2:C82---:RE400;Rodange, Gare;Troisvierges, Gare;
RE;train;GTFS route_id=2:C82---:RE4600;Luxembourg, Gare Centrale;Arlon, Gare;
RE;train;GTFS route_id=2:C82---:RE4800;Luxembourg, Gare Centrale;Wasserbillig, Gare;
RE;train;GTFS route_id=2:C82---:RE5100;Luxembourg, Gare Centrale;Trier, Hauptbahnhof;
RE;train;GTFS route_id=2:C82---:RE6300;Esch/Alzette, Gare;Luxembourg, Gare Centrale;
RE;train;GTFS route_id=2:C82---:RE6500;Volmerange;Luxembourg, Gare Centrale;
