#ref;type;comment;from;to;operator
2;bus;;Schenefeld;Bf. Altona;Verkehrsbetriebe Hamburg-Holstein GmbH
3;bus;;Schenefeld;Tiefstack;Verkehrsbetriebe Hamburg-Holstein GmbH
4;bus;;Eidelstedt;Brandstwiete;Hamburger Hochbahn AG
5;bus;;A Burgwedel;Hauptbahnhof;Hamburger Hochbahn AG
6;bus;;Speicherstadt;U Borgweg;Hamburger Hochbahn AG
7;bus;;U S Barmbek;Steishoop;Hamburger Hochbahn AG
8;bus;;U Wandsbek Markt;S Poppenbüttel;Hamburger Hochbahn AG
9;bus;;U Wandsbek Markt;Großlohe;Hamburger Hochbahn AG
10;bus;;U Wandsbek Markt;Glatzer Straße;Hamburger Hochbahn AG
11;bus;;U Wandsbek Markt;Sorenkoppel;Hamburger Hochbahn AG
12;bus;;U Billstedt;S Allermöhe;Verkehrsbetriebe Hamburg-Holstein GmbH
13;bus;;S Veddel;Kirchdorf (Süd);Hamburger Hochbahn AG
14;bus;;Eißendorf;Fleestedt;Hamburger Hochbahn AG
15;bus;;S Othmarschen;Alsterchaussee;Verkehrsbetriebe Hamburg-Holstein GmbH
17;bus;;;;Hamburger Hochbahn AG
19;bus;;;;Hamburger Hochbahn AG
20;bus;;;;Hamburger Hochbahn AG
21;bus;;U Niendorf;Teufelsbrück;Verkehrsbetriebe Hamburg-Holstein GmbH
22;bus;;S Blankenese;U Kellingshusenstraße;Verkehrsbetriebe Hamburg-Holstein GmbH
23;bus;;;;Hamburger Hochbahn AG
24;bus;;;;Hamburger Hochbahn AG
25;bus;;;;Hamburger Hochbahn AG
26;bus;;;;Hamburger Hochbahn AG
27;bus;;;;Hamburger Hochbahn AG
28;bus;;;;Hamburger Hochbahn AG
29;bus;;Bf. Tonndorf / Kielkoppelstraße;Bf. Bergedorf;Verkehrsbetriebe Hamburg-Holstein GmbH

=== Schnellbus
31;bus;;U Rödingsmarkt;Lauenburg, ZOB;Verkehrsbetriebe Hamburg-Holstein GmbH
34;bus;;;;Hamburger Hochbahn AG
36;bus;;;;Hamburger Hochbahn AG
37;bus;;;;Hamburger Hochbahn AG

=== XpressBus
X3;bus;;;;
X30;bus;;;;
X32;bus;;;;
X35;bus;;;;
X40;bus;;;;
X86;bus;;;;

=== Nachtbus
600;bus;;;;
601;bus;;;;
602;bus;;;;
603;bus;;;;
604;bus;;;;
605;bus;;;;
606;bus;;;;
607;bus;;;;
608;bus;;;;
609;bus;;;;
611;bus;;;;
613;bus;;;;
616;bus;;;;
617;bus;;;;
618;bus;;;;
619;bus;;;;
621;bus;;;;
623;bus;;;;
626;bus;;;;
627;bus;;;;
629;bus;;;;
638;bus;;;;
639;bus;;;;
640;bus;;;;
641;bus;;Bf. Altona;S Neu Wulmstorf;Hamburger Hochbahn AG
647;bus;;;;
649;bus;;;;
688;bus;;;;

=== Stadt- und Regionalbus
111;bus;;;;
112;bus;;;;
114;bus;;;;
116;bus;;;;
118;bus;;;;
120;bus;;;;
122;bus;;;;
124;bus;;;;
130;bus;;;;
133;bus;;;;
135;bus;;;;
136;bus;;;;
137;bus;;;;
140;bus;;S Neugragen (Am Johannisland);S Neuwiedenthal;Hamburger Hochbahn AG
141;bus;;;;
142;bus;;;;
143;bus;;;;
145;bus;;;;
146;bus;;;;Hamburger Hochbahn AG
150;bus;;;;
151;bus;;;;
152;bus;;;;
153;bus;;;;
154;bus;;;;
157;bus;;;;Hamburger Hochbahn AG
156;bus;;;;
160;bus;;;;
162;bus;;;;
163;bus;;;;
164;bus;;;;
166;bus;;;;
167;bus;;;;
168;bus;;;;
170;bus;;;;
171;bus;;;;
172;bus;;;;
173;bus;;;;
174;bus;;;;
176;bus;;;;
177;bus;;;;
178;bus;;;;
179;bus;;;;
180;bus;;;;
181;bus;;;;
183;bus;;;;
184;bus;;;;
185;bus;;;;
186;bus;;;;
189;bus;;;;
191;bus;;;;
192;bus;;;;
193;bus;;;;
340;bus;;S Neuwiedenthal;Bf. Harburg;Hamburger Hochbahn AG
349;bus;;;;Hamburger Hochbahn AG
335;bus;;S Allermöhe;Wentorf, Am Petersilienberg / Wentorf, Am Grotensahl;Verkehrsbetriebe Hamburg-Holstein GmbH
530;bus;;U Hammer Kirche;Schule Mittlerer Landweg;Verkehrsbetriebe Hamburg-Holstein GmbH
543;bus;;Nachtigallenweg;Emmelndorf, Gartenstraße;Hamburger Hochbahn AG

== Stadt- und Regionalbus

138;bus;;;;
139;bus;;;;
194;bus;;;;
195;bus;;;;
196;bus;;;;
213;bus;;;;
214;bus;;;;
220;bus;;;;
221;bus;;;;
222;bus;;;;
223;bus;;;;
225;bus;;;;
227;bus;;;;
228;bus;;;;
230;bus;;;;
232;bus;;;;
233;bus;;;;
234;bus;;;;
235;bus;;;;
236;bus;;;;
237;bus;;;;
238;bus;;;;
