270;bus;;;;
271;bus;;;;
274;bus;;;;
275;bus;;;;
276;bus;;;;
277;bus;;;;
278;bus;;;;
281;bus;;;;
283;bus;;;;
284;bus;;;;
285;bus;;;;
286;bus;;;;
288;bus;;;;
289;bus;;;;
292;bus;;;;
293;bus;;;;
294;bus;;;;
295;bus;;;;
321;bus;;;;
322;bus;;;;
323;bus;;;;
327;bus;;;;
328;bus;;;;
329;bus;;;;
330;bus;;;;
332;bus;;;;
333;bus;;;;
336;bus;;;;
337;bus;;;;
338;bus;;;;
339;bus;;;;
340;bus;;;;
343;bus;;;;
345;bus;;;;
347;bus;;;;
348;bus;;;;
349;bus;;;;
351;bus;;;;
354;bus;;;;
355;bus;;;;
362;bus;;;;
363;bus;;;;
364;bus;;;;
368;bus;;;;
369;bus;;;;
374;bus;;;;
375;bus;;;;
376;bus;;;;
378;bus;;;;
385;bus;;;;
388;bus;;;;
389;bus;;;;
391;bus;;;;
392;bus;;;;
393;bus;;;;
395;bus;;;;
410;bus;;;;
411;bus;;;;
412;bus;;;;
413;bus;;;;
422;bus;;;;
424;bus;;;;
427;bus;;;;
428;bus;;;;
432;bus;;;;
433;bus;;;;
436;bus;;;;
438;bus;;;;
439;bus;;;;
440;bus;;;;
443;bus;;;;
447;bus;;;;
448;bus;;;;
451;bus;;;;
454;bus;;;;
461;bus;;;;
462;bus;;;;
464;bus;;;;
465;bus;;;;
469;bus;;;;
474;bus;;;;
476;bus;;;;
478;bus;;;;
488;bus;;;;
489;bus;;;;
493;bus;;;;
494;bus;;;;
529;bus;;;;
533;bus;;;;
534;bus;;;;
535;bus;;;;
536;bus;;;;
537;bus;;;;
539;bus;;;;
540;bus;;;;
543;bus;;;;
548;bus;;;;
562;bus;;;;
563;bus;;;;
567;bus;;;;
569;bus;;;;
574;bus;;;;
576;bus;;;;
578;bus;;;;
588;bus;;;;
589;bus;;;;
593;bus;;;;
594;bus;;;;
595;bus;;;;
733;bus;;;;
735;bus;;;;
736;bus;;;;
737;bus;;;;
764;bus;;;;
765;bus;;;;
769;bus;;;;
774;bus;;;;
776;bus;;;;
781;bus;;;;
794;bus;;;;
796;bus;;;;

== Busse im Umland
1705;bus;;;;
1824;bus;;;;
2001;bus;;;;
2002;bus;;;;
2004;bus;;;;
2005;bus;;;;
2007;bus;;;;
2008;bus;;;;
2011;bus;;;;
2017;bus;;;;
2021;bus;;;;
2025;bus;;;;
2026;bus;;;;
2027;bus;;;;
2028;bus;;;;
2030;bus;;;;
2034;bus;;;;
2035;bus;;;;
2036;bus;;;;
2037;bus;;;;
2038;bus;;;;
2040;bus;;;;
2043;bus;;;;
2044;bus;;;;
2045;bus;;;;
2050;bus;;;;
2051;bus;;;;
2052;bus;;;;
2053;bus;;;;
2054;bus;;;;
2057;bus;;;;
2060;bus;;;;
2061;bus;;;;
2064;bus;;;;
2065;bus;;;;
2066;bus;;;;
2067;bus;;;;
2068;bus;;;;
2069;bus;;;;
2070;bus;;;;
2072;bus;;;;
2073;bus;;;;
2074;bus;;;;
2078;bus;;;;
2079;bus;;;;
2080;bus;;;;
2081;bus;;;;
2090;bus;;;;
2091;bus;;;;
2092;bus;;;;
2093;bus;;;;
2094;bus;;;;
2096;bus;;;;
2101;bus;;;;
2102;bus;;;;
2103;bus;;;;
2104;bus;;;;
2105;bus;;;;
2111;bus;;;;
2113;bus;;;;
2114;bus;;;;
2129;bus;;;;
2286;bus;;;;
2310;bus;;;;
2322;bus;;;;
2330;bus;;;;
2331;bus;;;;
2332;bus;;;;
2333;bus;;;;
2385;bus;;;;
2386;bus;;;;
2401;bus;;;;
2405;bus;;;;
2703;bus;;;;
2704;bus;;;;
2706;bus;;;;
2707;bus;;;;
2708;bus;;;;
2711;bus;;;;
2712;bus;;;;
2713;bus;;;;
2718;bus;;;;
2719;bus;;;;
3813;bus;;;;
3860;bus;;;;
4001;bus;;;;
4002;bus;;;;
4003;bus;;;;
4037;bus;;;;
4038;bus;;;;
4039;bus;;;;
4101;bus;;;;
4102;bus;;;;
4103;bus;;;;
4148;bus;;;;
4207;bus;;;;
4208;bus;;;;
4244;bus;;;;
4400;bus;;;;
4402;bus;;;;
4404;bus;;;;
4405;bus;;;;
4406;bus;;;;
4407;bus;;;;
4408;bus;;;;
4409;bus;;;;
4410;bus;;;;
4602;bus;;;;
4603;bus;;;;
4604;bus;;;;
4608;bus;;;;
4609;bus;;;;
4611;bus;;;;
4613;bus;;;;
4615;bus;;;;
4618;bus;;;;
4620;bus;;;;
4621;bus;;;;
4623;bus;;;;
4624;bus;;;;
4630;bus;;;;
4631;bus;;;;
4632;bus;;;;
4633;bus;;;;
4640;bus;;;;
4641;bus;;;;
4642;bus;;;;
4643;bus;;;;
4650;bus;;;;
4661;bus;;;;
4662;bus;;;;
4663;bus;;;;
4664;bus;;;;
4681;bus;;;;
4682;bus;;;;
4683;bus;;;;
4684;bus;;;;
4700;bus;;;;
4701;bus;;;;
4705;bus;;;;
4710;bus;;;;
4714;bus;;;;
4715;bus;;;;
4716;bus;;;;
4717;bus;;;;
4801;bus;;;;
4860;bus;;;;
4870;bus;;;;
4887;bus;;;;
4888;bus;;;;
4889;bus;;;;
4890;bus;;;;
5001;bus;;;;
5002;bus;;;;
5003;bus;;;;
5004;bus;;;;
5005;bus;;;;
5006;bus;;;;
5007;bus;;;;
5009;bus;;;;
5010;bus;;;;
5011;bus;;;;
5012;bus;;;;
5013;bus;;;;
5014;bus;;;;
5015;bus;;;;
5100;bus;;;;
5101;bus;;;;
5102;bus;;;;
5103;bus;;;;
5104;bus;;;;
5110;bus;;;;
5111;bus;;;;
5112;bus;;;;
5114;bus;;;;
5120;bus;;;;
5200;bus;;;;
5201;bus;;;;
5202;bus;;;;
5203;bus;;;;
5300;bus;;;;
5301;bus;;;;
5302;bus;;;;
5303;bus;;;;
5304;bus;;;;
5361;bus;;;;
5362;bus;;;;
5402;bus;;;;
5403;bus;;;;
5404;bus;;;;
5405;bus;;;;
5600;bus;;;;
5604;bus;;;;
5606;bus;;;;
5610;bus;;;;
5620;bus;;;;
5700;bus;;;;
5701;bus;;;;
5702;bus;;;;
5703;bus;;;;
5705;bus;;;;
5706;bus;;;;
5900;bus;;;;
5901;bus;;;;
5902;bus;;;;
5903;bus;;;;
5904;bus;;;;
5917;bus;;;;
5918;bus;;;;
5919;bus;;;;
5920;bus;;;;
5921;bus;;;;
5922;bus;;;;
5925;bus;;;;
5931;bus;;;;
6500;bus;;;;
6501;bus;;;;
6502;bus;;;;
6503;bus;;;;
6504;bus;;;;
6505;bus;;;;
6506;bus;;;;
6507;bus;;;;
6521;bus;;;;
6522;bus;;;;
6523;bus;;;;
6533;bus;;;;
6534;bus;;;;
6535;bus;;;;
6541;bus;;;;
6542;bus;;;;
6543;bus;;;;
6544;bus;;;;
6551;bus;;;;
6552;bus;;;;
6660;bus;;;;
6661;bus;;;;
6663;bus;;;;
6665;bus;;;;
6667;bus;;;;
6668;bus;;;;
6669;bus;;;;
6702;bus;;;;
7141;bus;;;;
7500;bus;;;;
7503;bus;;;;
7504;bus;;;;
7505;bus;;;;
7506;bus;;;;
7508;bus;;;;
7530;bus;;;;
7540;bus;;;;
7550;bus;;;;
7551;bus;;;;
7570;bus;;;;
7580;bus;;;;
7590;bus;;;;
7600;bus;;;;
7650;bus;;;;
7651;bus;;;;
7652;bus;;;;
7660;bus;;;;
7670;bus;;;;
7671;bus;;;;
7680;bus;;;;
7700;bus;;;;
7701;bus;;;;
7705;bus;;;;
7720;bus;;;;
7722;bus;;;;
7725;bus;;;;
7751;bus;;;;
7752;bus;;;;
7900;bus;;;;
7915;bus;;;;
7920;bus;;;;
7921;bus;;;;
7922;bus;;;;
7930;bus;;;;
7950;bus;;;;
7970;bus;;;;
7971;bus;;;;
7972;bus;;;;
7973;bus;;;;
7975;bus;;;;
7977;bus;;;;
7980;bus;;;;
8101;bus;;;;
8102;bus;;;;
8103;bus;;;;
8104;bus;;;;
8105;bus;;;;
8110;bus;;;;
8111;bus;;;;
8112;bus;;;;
8113;bus;;;;
8114;bus;;;;
8115;bus;;;;
8116;bus;;;;
8117;bus;;;;
8118;bus;;;;
8120;bus;;;;
8121;bus;;;;
8122;bus;;;;
8130;bus;;;;
8131;bus;;;;
8133;bus;;;;
8134;bus;;;;
8136;bus;;;;
8140;bus;;;;
8142;bus;;;;
8145;bus;;;;
8146;bus;;;;
8150;bus;;;;
8160;bus;;;;
8161;bus;;;;
8162;bus;;;;
8163;bus;;;;
8170;bus;;;;
8171;bus;;;;
8501;bus;;;;
8502;bus;;;;
8511;bus;;;;
8512;bus;;;;
8513;bus;;;;
8514;bus;;;;
8515;bus;;;;
8700;bus;;;;
8710;bus;;;;
8711;bus;;;;
8712;bus;;;;
8713;bus;;;;
8720;bus;;;;
8721;bus;;;;
8722;bus;;;;
8723;bus;;;;
8724;bus;;;;
8725;bus;;;;
8726;bus;;;;
8730;bus;;;;
8731;bus;;;;
8732;bus;;;;
8733;bus;;;;
8734;bus;;;;
8735;bus;;;;
8740;bus;;;;
8741;bus;;;;
8742;bus;;;;
8750;bus;;;;
8751;bus;;;;
8752;bus;;;;
8753;bus;;;;
